Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,FlannelKat,Cyber Owls,CYBER OWLS: Beat Congo Basin,CYBER OWLS: Beat {{owls}},3.9,31.3,7,Other,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=2056,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=2292,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,,Mortol II,MORTOL II: Gold disk without blowing anything up,MORTOL II: Gold disk without blowing anything up,,,,Diagonal,,,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,FlannelKat,Campanella 3,CAMPANELLA 3: Earn 2 star waves in Stage D,CAMPANELLA 3: Earn 2 star waves in Stage D,11.9,79.3,15,Other,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=4455,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=5172,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,,Rail Heist,RAIL HEIST: LAZY-COPS allowed; beat Root Around while destroying every barrel,RAIL HEIST: LAZY-COPS allowed; beat Root Around while destroying every barrel,,,,Diagonal,,,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,,Night Manor,NIGHT MANOR: Win the hiding minigame in five different places,NIGHT MANOR: Win the hiding minigame in five different places,,,,Other,,,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,FlannelKat,Pilot Quest,PILOT QUEST: Activate 2 teleporters,PILOT QUEST: Activate 2 teleporters,8.9,27.4,6,Other,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=1520,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=2056,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,,Avianos,"AVIANOS: Win a custom Fledgling game with 0 mountains (P2 first, other settings default)","AVIANOS: Win a custom Fledgling game with 0 mountains (P2 first, other settings default)",,,,Other,,,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,C2,,FlannelKat,PresJPolk,03/10/2026,FlannelKat,General,Beat 8 levels in 3 games on this card,Beat 8 levels in 3 games on this card,3.2,67.4,14,Diagonal,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=4262,https://youtu.be/q0OaeVCX1gw?si=QLOs9tPbJL7GrY1E&t=4455,https://ufo50.bingo/match/2i3O-MWFRge1RUH8BKSdVg,1773186633
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Seaside Drive,SEASIDE DRIVE: Collect a coin by winning a bonus game,SEASIDE DRIVE: Collect a coin by winning a bonus game,1.2,34.7,16,Diagonal,https://youtu.be/c9ycjHZESeM?t=2399,https://youtu.be/c9ycjHZESeM?t=2469,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Valbrace,VALBRACE: Use up a throne without defeating the Crone,VALBRACE: Use up a throne without defeating the Crone,5.9,22.3,13,Other,https://youtu.be/c9ycjHZESeM?t=1370,https://youtu.be/c9ycjHZESeM?t=1724,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Porgy,PORGY: Defeat a boss,PORGY: Defeat a boss,2.7,48.2,21,Other,https://youtu.be/c9ycjHZESeM?t=3119,https://youtu.be/c9ycjHZESeM?t=3281,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Combatants,COMBATANTS: ANTS-ANTS allowed; beat This Is It,COMBATANTS: ANTS-ANTS allowed; beat This Is It,7.5,55.7,23,Other,https://youtu.be/c9ycjHZESeM?t=3281,https://youtu.be/c9ycjHZESeM?t=3731,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,General,Cherry disk 3 games on this card,Cherry disk {{cherry_count}} games on this card,12.6,47.3,20,Diagonal,https://youtu.be/c9ycjHZESeM?t=2469,https://youtu.be/c9ycjHZESeM?t=3226,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,,Avianos,AVIANOS: BLUE-BEAK allowed; Win the Adult campaign game with a Blessing from each Ancestor,AVIANOS: BLUE-BEAK allowed; Win the Adult campaign game with a Blessing from each Ancestor,,,,Other,,,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Golfaria,GOLFARIA: Show 20%+ completion in the library,GOLFARIA: Show 20%+ completion in the library,6.3,53.6,22,Diagonal,https://youtu.be/c9ycjHZESeM?t=3226,https://youtu.be/c9ycjHZESeM?t=3603,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,General,Beat 2 levels in 6 games on this card,Beat 2 levels in 6 games on this card,2.4,45.5,19,Other,https://youtu.be/c9ycjHZESeM?t=2974,https://youtu.be/c9ycjHZESeM?t=3119,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Attactics,ATTACTICS: Have 3 Heroes at once (Ranked or Survival Mode),ATTACTICS: Have 3 Heroes at once (Ranked or Survival Mode),4.7,9.3,5,Diagonal,https://youtu.be/c9ycjHZESeM?t=668,https://youtu.be/c9ycjHZESeM?t=950,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Elfazar's Hat,ELFAZAR'S HAT: Clear stages 1 & 2 without upgrades or healing,ELFAZAR'S HAT: Clear stages 1 & 2 without upgrades or healing,2.4,19.2,11,Other,https://youtu.be/c9ycjHZESeM?t=1401,https://youtu.be/c9ycjHZESeM?t=1543,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,General,"AMY: Beat 5 levels across Party House, Fist Hell, and Hot Foot, with 1+ in each","AMY: Beat 5 levels across Party House, Fist Hell, and Hot Foot, with 1+ in each",4.5,43.1,18,Other,https://youtu.be/c9ycjHZESeM?t=2701,https://youtu.be/c9ycjHZESeM?t=2974,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Velgress,VELGRESS: Clear out a shop's stock,VELGRESS: Clear out a shop's stock,2.6,4.6,2,Other,https://youtu.be/c9ycjHZESeM?t=514,https://youtu.be/c9ycjHZESeM?t=668,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Ninpek,NINPEK: Have 6 extra lives at once,NINPEK: Have 6 extra lives at once,3.4,12.8,7,Center,https://youtu.be/c9ycjHZESeM?t=950,https://youtu.be/c9ycjHZESeM?t=1156,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Party House,PARTY HOUSE: Beat A Magical Night with your popularity maxed out,PARTY HOUSE: Beat {{ph_all}} with your popularity maxed out,9.2,31.4,14,Other,https://youtu.be/c9ycjHZESeM?t=1723,https://youtu.be/c9ycjHZESeM?t=2274,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Mortol II,MORTOL II: Defeat all three mini bosses without damaging them as Bomber,MORTOL II: Defeat all three mini bosses without damaging them as Bomber,7.6,7.6,3,Other,https://youtu.be/c9ycjHZESeM?t=389,https://youtu.be/c9ycjHZESeM?t=847,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Waldorf's Journey,WALDORF'S JOURNEY: Have 50 shells at once before entering the palace,WALDORF'S JOURNEY: Have 50 shells at once before entering the palace,3.6,16.4,9,Other,https://youtu.be/c9ycjHZESeM?t=1156,https://youtu.be/c9ycjHZESeM?t=1370,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Onion Delivery,ONION DELIVERY: Complete day 3,ONION DELIVERY: Complete day 3,3,22.2,12,Diagonal,https://youtu.be/c9ycjHZESeM?t=1543,https://youtu.be/c9ycjHZESeM?t=1723,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,,Quibble Race,QUIBBLE RACE: Win 3 bets on Quibbles with a 5:1 or higher payout,QUIBBLE RACE: Win 3 bets on Quibbles with a 5:1 or higher payout,,,,Other,,,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,General,Defeat 8 bosses from games on this card,Defeat 8 bosses from games on this card,1.9,16.9,10,Diagonal,https://youtu.be/c9ycjHZESeM?t=1285,https://youtu.be/c9ycjHZESeM?t=1401,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Star Waspir,"STAR WASPIR: Reach Wave 2 with 20,000+ points using the Red ship","STAR WASPIR: Reach Wave 2 with 20,000+ points using the Red ship",2,9.7,6,Other,https://youtu.be/c9ycjHZESeM?t=850,https://youtu.be/c9ycjHZESeM?t=972,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Star Waspir,STAR WASPIR: Clear wave 3,STAR WASPIR: Clear wave 3,5.2,14.9,8,Diagonal,https://youtu.be/c9ycjHZESeM?t=972,https://youtu.be/c9ycjHZESeM?t=1285,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,General,Collect 7 gifts from games on this card,Collect {{gift_count}} gifts from games on this card,7.1,38.5,17,Other,https://youtu.be/c9ycjHZESeM?t=2274,https://youtu.be/c9ycjHZESeM?t=2701,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Mortol II,MORTOL II: Activate all the switches,MORTOL II: Activate all the switches,0,7.7,4,Other,https://youtu.be/c9ycjHZESeM?t=847,https://youtu.be/c9ycjHZESeM?t=850,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Night Manor,NIGHT MANOR: Collect the Topaz,NIGHT MANOR: Collect the {{gemstone}},11.2,33.5,15,Other,https://youtu.be/c9ycjHZESeM?t=1724,https://youtu.be/c9ycjHZESeM?t=2399,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,1,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Velgress,VELGRESS: Beat level 1 while defeating all enemies using your blaster,VELGRESS: Beat level 1 while defeating all enemies using your blaster,2.1,2.1,1,Diagonal,https://youtu.be/c9ycjHZESeM?t=389,https://youtu.be/c9ycjHZESeM?t=514,https://ufo50.bingo/match/KOibODkGThO0zbHH4S7AMQ,1773186791
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Quibble Race,"QUIBBLE RACE: Have your sponsored Quibble win the race, while boosting a different one","QUIBBLE RACE: Have your sponsored Quibble win the race, while boosting a different one",,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Bug Hunter,BUG HUNTER: Complete a job,BUG HUNTER: Complete a job,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,General,Beat 8 levels in 3 games on this card,Beat 8 levels in 3 games on this card,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Magic Garden,MAGIC GARDEN: Gold disk,MAGIC GARDEN: Gold disk,1.6,9.2,4,Other,https://youtu.be/c9ycjHZESeM?t=5113,https://youtu.be/c9ycjHZESeM?t=5207,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Seaside Drive,SEASIDE DRIVE: Destroy the UFO in stage 3,SEASIDE DRIVE: Destroy the UFO in stage 3,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,General,Collect 8 gifts from games on this card,Collect {{gift_count}} gifts from games on this card,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Fist Hell,FIST HELL: Clear the 4th scare,FIST HELL: Clear the 4th scare,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Caramel Caramel,"CARAMEL CARAMEL: Score 50,000+ points","CARAMEL CARAMEL: Score 50,000+ points",,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Devilition,DEVILITION: Beat 3 rounds in a run while placing the maximum number of pieces each round,DEVILITION: Beat 3 rounds in a run while placing the maximum number of pieces each round,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Magic Garden,"MAGIC GARDEN: Save 100 oppies before scoring 4,000 points","MAGIC GARDEN: Save 100 oppies before scoring 4,000 points",3,7.6,3,Other,https://youtu.be/c9ycjHZESeM?t=4935,https://youtu.be/c9ycjHZESeM?t=5113,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Paint Chase,PAINT CHASE: Score 180+ points,PAINT CHASE: Score 180+ points,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Cyber Owls,CYBER OWLS: Beat Moscow,CYBER OWLS: Beat {{owls}},0,4.7,2,Other,https://youtu.be/c9ycjHZESeM?t=4935,https://youtu.be/c9ycjHZESeM?t=4935,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Night Manor,NIGHT MANOR: Collect the Diamond,NIGHT MANOR: Collect the {{gemstone}},,,,Center,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,General,"REVOLUTIONARY: Beat 5 levels across Mortol, Cyber Owls, Rock On! Island","REVOLUTIONARY: Beat 5 levels across Mortol, Cyber Owls, Rock On! Island",,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Rock On! Island,ROCK ON! ISLAND: CLUB-PASS allowed; perfect Wasteland,ROCK ON! ISLAND: CLUB-PASS allowed; perfect Wasteland,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Mortol II,"MORTOL II: In one run, get eaten by all 4 worms","MORTOL II: In one run, get eaten by all 4 worms",,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,General,Defeat a boss in 6 games on this card,Defeat a boss in 6 games on this card,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Cyber Owls,CYBER OWLS: Clear Moscow with 1200+ score,CYBER OWLS: Clear Moscow with 1200+ score,4.7,4.7,1,Other,https://youtu.be/c9ycjHZESeM?t=4655,https://youtu.be/c9ycjHZESeM?t=4935,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Porgy,PORGY: Equip the Missile System,PORGY: Equip the {{porgy_upgrade2}},,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Fist Hell,FIST HELL: Reach wave 7 in the gym,FIST HELL: Reach wave 7 in the gym,,,,Other,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,Waldorf's Journey,WALDORF'S JOURNEY: Cherry disk,WALDORF'S JOURNEY: Cherry disk,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Campanella,CAMPANELLA: Defeat the Stage B Boss,CAMPANELLA: Defeat the Stage B Boss,3.1,12.8,6,Other,https://youtu.be/c9ycjHZESeM?t=5237,https://youtu.be/c9ycjHZESeM?t=5424,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,KeenyPeenyWeeny,Block Koala,BLOCK KOALA: Beat 3 story levels without using the undo button,BLOCK KOALA: Beat 3 story levels without using the undo button,9.7,9.7,5,Other,https://youtu.be/c9ycjHZESeM?t=4655,https://youtu.be/c9ycjHZESeM?t=5237,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,Spooty,Attactics,ATTACTICS: Reach Lieutenant (50+) in Ranked Mode,ATTACTICS: Reach Lieutenant (50+) in Ranked Mode,3.7,12.9,7,Other,https://youtu.be/c9ycjHZESeM?t=5207,https://youtu.be/c9ycjHZESeM?t=5429,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,A,2,KeenyPeenyWeeny,Spooty,03/10/2026,,General,Gold disk 4 games on this card,Gold disk {{gold_count}} games on this card,,,,Diagonal,,,https://ufo50.bingo/match/Fd12SAeHQnWjIWS17u1F0Q,1773191977
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,Vainger,VAINGER: Beat 3 bosses,VAINGER: Beat 3 bosses,6.7,64.1,15,Diagonal,https://youtu.be/jGTnh5yE-10?t=3653,https://youtu.be/jGTnh5yE-10?t=4056,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,General,Collect 6 gifts from games on this card,Collect {{gift_count}} gifts from games on this card,17.5,57.3,13,Other,https://youtu.be/jGTnh5yE-10?t=2603,https://youtu.be/jGTnh5yE-10?t=3653,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,Planet Zoldath,PLANET ZOLDATH: Collect the trade Map Piece,PLANET ZOLDATH: Collect the trade Map Piece,7.4,77.7,19,Other,https://youtu.be/jGTnh5yE-10?t=4430,https://youtu.be/jGTnh5yE-10?t=4874,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Camouflage,CAMOUFLAGE: Escape with 10 oranges,CAMOUFLAGE: Escape with 10 oranges,6.1,60.8,14,Other,https://youtu.be/jGTnh5yE-10?t=3493,https://youtu.be/jGTnh5yE-10?t=3861,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Hyper Contender,HYPER CONTENDER: Gold disk as Elka or Sephy,HYPER CONTENDER: Gold disk as {{hc_char}} or {{hc_char}},7.3,80.2,20,Diagonal,https://youtu.be/jGTnh5yE-10?t=4584,https://youtu.be/jGTnh5yE-10?t=5022,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,Caramel Caramel,CARAMEL CARAMEL: TEST-LENS allowed; beat Ghost Planet without using the camera before the boss,CARAMEL CARAMEL: TEST-LENS allowed; beat Ghost Planet without using the camera before the boss,6.2,70.3,17,Other,https://youtu.be/jGTnh5yE-10?t=4056,https://youtu.be/jGTnh5yE-10?t=4430,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,Night Manor,NIGHT MANOR: Win the hiding minigame twice,NIGHT MANOR: Win the hiding minigame twice,2.7,2.7,1,Diagonal,https://youtu.be/jGTnh5yE-10?t=213,https://youtu.be/jGTnh5yE-10?t=376,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Attactics,ATTACTICS: Score 1000+ points in Survival Mode,ATTACTICS: Score 1000+ points in Survival Mode,6.2,86.3,21,Other,https://youtu.be/jGTnh5yE-10?t=5022,https://youtu.be/jGTnh5yE-10?t=5391,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Campanella,"CAMPANELLA: Score 20,000+ points","CAMPANELLA: Score 20,000+ points",8.9,8.9,2,Diagonal,https://youtu.be/jGTnh5yE-10?t=213,https://youtu.be/jGTnh5yE-10?t=749,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,General,Beat 2 levels in 6 games on this card,Beat 2 levels in 6 games on this card,11.1,54.7,11,Other,https://youtu.be/jGTnh5yE-10?t=2824,https://youtu.be/jGTnh5yE-10?t=3492,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,,Ninpek,"NINPEK: Use HARD-LOOP; Score 22,000+ points","NINPEK: Use HARD-LOOP; Score 22,000+ points",,,,Other,,,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Combatants,COMBATANTS: ANTS-ANTS allowed; Beat Surprise! & Spidernest,COMBATANTS: ANTS-ANTS allowed; Beat {{ants_med}} & {{ants_med}},7.1,67.9,16,Other,https://youtu.be/jGTnh5yE-10?t=3861,https://youtu.be/jGTnh5yE-10?t=4287,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,,General,Gold disk 4 games on this card,Gold disk {{gold_count}} games on this card,,,,Center,,,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,Sabera,Caramel Caramel,CARAMEL CARAMEL: Beat the Egg,CARAMEL CARAMEL: Beat the Egg,3.3,23.6,6,Other,https://youtu.be/jGTnh5yE-10?t=1427,https://youtu.be/jGTnh5yE-10?t=1626,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Seaside Drive,SEASIDE DRIVE: Collect a coin by winning a bonus game,SEASIDE DRIVE: Collect a coin by winning a bonus game,7.2,16.2,3,Other,https://youtu.be/jGTnh5yE-10?t=749,https://youtu.be/jGTnh5yE-10?t=1183,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,General,"CAMPANELLA TRILOGY: Beat 5 total worlds across Campanella 1, 2, and 3","CAMPANELLA TRILOGY: Beat 5 total worlds across Campanella 1, 2, and 3",0,54.7,12,Other,https://youtu.be/jGTnh5yE-10?t=3492,https://youtu.be/jGTnh5yE-10?t=3493,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Quibble Race,"QUIBBLE RACE: WILD-BETS allowed; have $25,000+","QUIBBLE RACE: WILD-BETS allowed; have $25,000+",5.1,91.4,22,Diagonal,https://youtu.be/jGTnh5yE-10?t=5391,https://youtu.be/jGTnh5yE-10?t=5700,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,,Divers,DIVERS: Purchase Godblood,DIVERS: Purchase Godblood,,,,Other,,,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
Week 2,C2,,Sabera,ScoutPilgrim,03/10/2026,ScoutPilgrim,Seaside Drive,SEASIDE DRIVE: Use WEAK-SHOT; beat stage 2,SEASIDE DRIVE: Use WEAK-SHOT; beat stage 2,4.4,20.6,5,Diagonal,https://youtu.be/jGTnh5yE-10?t=1183,https://youtu.be/jGTnh5yE-10?t=1450,https://ufo50.bingo/match/IHhbpVRlRP6EhpJux_g7Nw,1773196072
