Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,Mortol II,MORTOL II: Activate all the switches,MORTOL II: Activate all the switches,,,,Other,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Devilition,DEVILITION: Have 6 villagers at once,DEVILITION: Have 6 villagers at once,20.1,63.1,10,Diagonal,https://youtu.be/t6kRJh3axiM?t=2918,https://youtu.be/t6kRJh3axiM?t=4125,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,General,Cherry disk 3 games on this card,Cherry disk {{cherry_count}} games on this card,,,,Other,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Hyper Contender,HYPER CONTENDER: Win 4 fights in one run (default ring settings),HYPER CONTENDER: Win 4 fights in one run (default ring settings),4.9,4.9,1,Diagonal,https://youtu.be/t6kRJh3axiM?t=341,https://youtu.be/t6kRJh3axiM?t=634,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,frozenflygone,Bug Hunter,BUG HUNTER: Use GOOD-JOBS; Beat Job 1 on 693381,BUG HUNTER: Use GOOD-JOBS; Beat Job 1 on {{dig1}}{{dig2}}{{dig3}}{{dig4}}{{dig5}}{{dig6}},27.3,38.1,6,Other,https://youtu.be/t6kRJh3axiM?t=988,https://youtu.be/t6kRJh3axiM?t=2627,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,Breakfast,General,"PUZZLER: Beat 15 levels across Block Koala, Devilition, and Warptank","PUZZLER: Beat 15 levels across Block Koala, Devilition, and Warptank",8.1,69.3,11,Other,https://youtu.be/t6kRJh3axiM?t=4013,https://youtu.be/t6kRJh3axiM?t=4497,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,Grimstone,GRIMSTONE: Have 4 items equipped to everyone in a posse of 4,GRIMSTONE: Have 4 items equipped to everyone in a posse of 4,,,,Other,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,B2,,Breakfast,frozenflygone,03/02/2026,,Mini & Max,MINI & MAX: Collect a big shiny,MINI & MAX: Collect a big shiny,,,,Diagonal,,,https://ufo50.bingo/match/7BEVn7yQQ26tdeG-pRZJfg,1772466498
Week 1,C2,,Sabera,wyrm,03/02/2026,wyrm,Waldorf's Journey,WALDORF'S JOURNEY: Beat the game without collecting any puffins,WALDORF'S JOURNEY: Beat the game without collecting any puffins,4.3,16.7,5,Diagonal,https://youtu.be/zYIsKI03svU?t=1005,https://youtu.be/zYIsKI03svU?t=1263,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,wyrm,Bug Hunter,BUG HUNTER: Get 4 pit Kills in one job,BUG HUNTER: Get 4 pit Kills in one job,19.1,44.5,9,Other,https://youtu.be/zYIsKI03svU?t=1783,https://youtu.be/zYIsKI03svU?t=2932,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
